repo_name,clone_url,description,created_at,updated_at,stargazers_count,forks_count,watchers_count,open_issues_count,size,language,license,has_wiki,has_pages,topics,contributors_count,commits_count,quality_assessment
mytv-android/mytv-android,https://github.com/mytv-android/mytv-android.git,基于天光云影3.3.9，使用Android原生开发的电视直播软件  An Android IPTV player developed by Jetpack Compose,2025-02-20T07:04:45Z,2025-10-19T07:13:05Z,1150,168,1150,2,185366,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",False,False,"['android', 'android-tv', 'app', 'iptv', 'kotlin', 'm3u', 'mytv', 'player', 'television', 'tv', 'tvbox', 'video-player', 'webview', 'xtream']",1,2,"{'overall_score': 0.515, 'component_scores': {'popularity': 0.749, 'activity': 0.405, 'code_quality': 0.5, 'community': 0.045, 'maintenance': 0.8}, 'quality_tier': 'Average'}"
patzly/grocy-android,https://github.com/patzly/grocy-android.git,"ERP beyond your fridge, now on your phone – An awesome companion app for Grocy",2020-04-06T20:01:15Z,2025-10-17T10:19:38Z,1062,110,1062,131,57857,Java,"{'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}",False,False,"['android', 'android-app', 'app', 'barcode-scanning', 'groceries', 'grocy', 'grocy-android', 'material-components']",2,2,"{'overall_score': 0.512, 'component_scores': {'popularity': 0.728, 'activity': 0.398, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 0.8}, 'quality_tier': 'Average'}"
stevenpersia/tinder-react-native,https://github.com/stevenpersia/tinder-react-native.git,Tinder clone - React Native.,2019-01-14T16:43:35Z,2025-10-19T06:33:20Z,1045,368,1045,3,21940,JavaScript,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",False,False,"['app', 'clone', 'mobile-app', 'react-native', 'tinder']",2,2,"{'overall_score': 0.523, 'component_scores': {'popularity': 0.769, 'activity': 0.4, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 0.8}, 'quality_tier': 'Average'}"
aheze/OpenFind,https://github.com/aheze/OpenFind.git,An app to find text in real life.,2019-10-14T00:33:00Z,2025-10-15T09:31:48Z,1043,71,1043,4,669393,Swift,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",True,False,"['app', 'camera', 'find', 'hacktoberfest', 'ios', 'ocr', 'photos', 'realm', 'swift', 'swiftui', 'uikit', 'vision']",1,2,"{'overall_score': 0.533, 'component_scores': {'popularity': 0.711, 'activity': 0.396, 'code_quality': 0.5, 'community': 0.045, 'maintenance': 1.0}, 'quality_tier': 'Average'}"
Acclorite/book-story,https://github.com/Acclorite/book-story.git,"Book's Story — Material You eBook reader built with Jetpack Compose. Free & Open source & Ad-free, with extensive customization options and support for multiple file formats.",2023-12-29T22:20:50Z,2025-10-18T23:16:33Z,994,59,994,48,68739,Kotlin,"{'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}",False,False,"['android', 'app', 'application', 'book-reader', 'epub', 'epub-reader', 'fb2', 'fb2-reader', 'fdroid', 'foss', 'izzyondroid', 'jetpack-compose', 'kotlin', 'material-you', 'pdf', 'pdf-reader', 'reading', 'txt', 'txt-reader']",2,2,"{'overall_score': 0.506, 'component_scores': {'popularity': 0.701, 'activity': 0.402, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 0.8}, 'quality_tier': 'Average'}"
qwersyk/Newelle,https://github.com/qwersyk/Newelle.git,Newelle - Your Ultimate Virtual Assistant,2023-06-11T07:43:48Z,2025-10-19T04:06:24Z,976,76,976,34,9131,Python,"{'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}",True,False,"['adwaita', 'ai', 'app', 'gnome', 'gtk', 'gtk4', 'linux']",2,2,"{'overall_score': 0.598, 'component_scores': {'popularity': 0.708, 'activity': 0.401, 'code_quality': 0.8, 'community': 0.071, 'maintenance': 1.0}, 'quality_tier': 'Average'}"
mlomb/chat-analytics,https://github.com/mlomb/chat-analytics.git,"Generate interactive, beautiful and insightful chat analysis reports",2021-07-26T00:41:27Z,2025-10-17T18:28:12Z,969,69,969,23,14899,TypeScript,"{'key': 'agpl-3.0', 'name': 'GNU Affero General Public License v3.0', 'spdx_id': 'AGPL-3.0', 'url': 'https://api.github.com/licenses/agpl-3.0', 'node_id': 'MDc6TGljZW5zZTE='}",False,False,"['analysis', 'analytics', 'analyzer', 'app', 'chat', 'chat-analysis', 'chat-analyzer', 'cli', 'data-visualization', 'discord', 'telegram', 'whatsapp']",2,2,"{'overall_score': 0.507, 'component_scores': {'popularity': 0.704, 'activity': 0.4, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 0.8}, 'quality_tier': 'Average'}"
raivo-otp/ios-application,https://github.com/raivo-otp/ios-application.git,"A native, lightweight and secure one-time-password (OTP) client built for iOS; Raivo OTP!",2019-04-15T17:01:34Z,2025-09-29T22:40:46Z,933,92,933,123,382976,Swift,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}",False,False,"['app', 'client', 'counter', 'factor', 'fast', 'ios', 'lightweight', 'native', 'one', 'otp', 'password', 'second', 'secure', 'swift', 'time', 'token', 'two']",2,2,"{'overall_score': 0.458, 'component_scores': {'popularity': 0.711, 'activity': 0.38, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 0.5}, 'quality_tier': 'Average'}"
notion-enhancer/notion-repackaged,https://github.com/notion-enhancer/notion-repackaged.git,notion executables with the notion-enhancer embedded & a vanilla port of the official app to linux,2021-06-18T06:36:04Z,2025-10-17T08:35:47Z,926,55,926,29,123,Shell,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",True,False,"['app', 'arch-linux', 'aur', 'automate', 'debian', 'electron', 'embed', 'fedora', 'linux', 'linux-mint', 'macos', 'manjaro', 'notion', 'notion-enhancer', 'pop-os', 'rebuild', 'ubuntu', 'windows']",2,2,"{'overall_score': 0.593, 'component_scores': {'popularity': 0.692, 'activity': 0.398, 'code_quality': 0.8, 'community': 0.071, 'maintenance': 1.0}, 'quality_tier': 'Average'}"
paradiseduo/appdecrypt,https://github.com/paradiseduo/appdecrypt.git,appdecrypt is a tool to make decrypt application encrypted binaries on macOS when SIP-enabled  (macOS 11.3 or below),2021-07-29T08:44:31Z,2025-10-17T10:13:17Z,916,116,916,9,94,Swift,"{'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}",True,False,"['app', 'dump', 'frida-ios-dump', 'ios', 'ipa', 'ipadump', 'm1', 'mac', 'macho', 'macho-parser', 'mini']",2,2,"{'overall_score': 0.54, 'component_scores': {'popularity': 0.717, 'activity': 0.399, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 1.0}, 'quality_tier': 'Average'}"
